indice_tiempo,demanda_total,temperatura_promedio,potencia_maxima
2001-01-01,6866.26,25.432,13501.0
2001-02-01,6473.1,25.596,14061.0
2001-03-01,6952.3,22.852,13780.0
2001-04-01,6183.35,18.317,12866.0
2001-05-01,6668.94,14.306,12968.0
2001-06-01,6559.16,12.94,13639.0
2001-07-01,6806.8,11.542,13794.0
2001-08-01,6531.18,15.055,13030.0
2001-09-01,6211.66,14.69,12642.0
2001-10-01,6268.03,18.074,12365.0
2001-11-01,6132.66,20.007,12595.0
2001-12-01,6448.414000000001,23.013,12626.0
2002-01-01,6471.69,24.903,12296.0
2002-02-01,5745.32,23.252,13481.0
2002-03-01,6462.13,22.18,13481.0
2002-04-01,5970.25,17.463,12209.0
2002-05-01,6320.57,16.432,12444.0
2002-06-01,6634.9,10.7,13428.0
2002-07-01,6891.22,11.469,13405.0
2002-08-01,6514.58,14.242,12908.0
2002-09-01,6136.42,14.787,12392.0
2002-10-01,6344.78,19.9,12394.0
2002-11-01,6384.03,21.39,12828.0
2002-12-01,6597.0,22.758,12939.0
2003-01-01,7009.41,23.81,13774.0
2003-02-01,6364.91,23.296,13900.0
2003-03-01,6874.26,22.403,13721.0
2003-04-01,6280.38,17.387,12670.0
2003-05-01,6773.8,15.284,13218.0
2003-06-01,6814.53,13.043,13567.0
2003-07-01,7321.71,11.081,14359.0
2003-08-01,7188.13,12.068,14331.0
2003-09-01,6737.75,14.623,13570.0
2003-10-01,6906.96,18.955,13384.0
2003-11-01,6833.97,20.303,13461.0
2003-12-01,7107.56,21.539,14185.0
2004-01-01,7620.56,25.071,14350.0
2004-02-01,6846.54,23.186,14207.0
2004-03-01,7544.99,23.555,14655.0
2004-04-01,7011.91,19.9,14732.0
2004-05-01,7325.25,13.3,14257.0
2004-06-01,7259.35,13.4,14512.0
2004-07-01,7576.6,12.4,14789.0
2004-08-01,7076.07,13.8,14848.0
2004-09-01,6956.97,16.1,13611.0
2004-10-01,7087.33,17.5,13569.0
2004-11-01,7127.32,19.8,14708.0
2004-12-01,7739.52,23.3,15032.0
2005-01-01,7983.28,25.872,15129.0
2005-02-01,7248.88,25.593,15717.0
2005-03-01,7689.91,21.237,15211.0
2005-04-01,7213.14,17.223,14552.0
2005-05-01,7668.55,14.939,14900.0
2005-06-01,7719.71,14.3,15699.0
