period,total_gwh,residential_gwh,commerce_industry_gwh,large_users_gwh
2005-01-01,7983.280000,2717.678000,3750.612000,1514.990000
2005-02-01,7248.880000,2298.744000,3479.876000,1470.260000
2005-03-01,7689.910000,2384.287000,3690.043000,1615.580000
2005-04-01,7213.140000,2184.768000,3492.142000,1536.230000
2005-05-01,7668.550000,2479.291000,3597.299000,1591.960000
2005-06-01,7719.710000,2679.416000,3498.704000,1541.590000
2005-07-01,8061.620000,2896.148000,3628.562000,1536.910000
2005-08-01,7953.500000,2737.632000,3587.508000,1628.360000
2005-09-01,7508.400000,2454.398000,3449.992000,1604.010000
2005-10-01,7403.310000,2266.127000,3495.353000,1641.830000
2005-11-01,7784.340000,2415.443000,3642.277000,1726.620000
2005-12-01,8098.310000,2572.563000,3790.507000,1735.240000
2006-01-01,7957.900000,2830.373000,3428.727000,1698.800000
2006-02-01,7395.700000,2515.396000,3261.454000,1618.850000
2006-03-01,8037.600000,2474.690000,3540.410000,2022.500000
2006-04-01,7555.600000,2258.193000,3318.147000,1979.260000
2006-05-01,8116.100000,2696.051000,3416.579000,2003.470000
2006-06-01,8248.900000,2963.715000,3374.495000,1910.690000
2006-07-01,8313.500000,2993.796000,3392.594000,1927.110000
2006-08-01,8497.000000,3107.201000,3472.059000,1917.740000
2006-09-01,7828.400000,2614.886000,3291.477000,1922.037000
2006-10-01,8025.100000,2530.829000,3503.241000,1991.030000
2006-11-01,7998.100000,2551.555000,3489.625000,1956.920000
2006-12-01,8838.900000,3071.673000,3802.947000,1964.280000
2007-01-01,8743.200000,3079.471000,3735.829000,1927.900000
2007-02-01,8158.200000,2790.054000,3574.996000,1793.150000
2007-03-01,8637.800000,2853.558000,3795.382000,1988.860000
2007-04-01,8010.400000,2610.215000,3525.255000,1874.930000
2007-05-01,8789.500000,3161.771000,3731.939000,1895.790000
2007-06-01,8851.400000,3576.113000,3535.967000,1739.320000
2007-07-01,9024.500000,3807.798000,3564.032000,1652.670000
2007-08-01,9106.500000,3726.224000,3589.396000,1790.880000
2007-09-01,8082.600000,2838.982000,3370.048000,1873.570000
2007-10-01,8370.400000,2810.846000,3654.304000,1905.250000
2007-11-01,8254.400000,2717.576000,3591.714000,1945.110000
2007-12-01,8921.400000,3138.571000,3815.519000,1967.310000
2008-01-01,9175.100000,3420.283000,3811.277000,1943.540000
2008-02-01,8728.800000,3073.664000,3705.406000,1949.730000
2008-03-01,8594.500000,2894.605000,3678.195000,2021.700000
2008-04-01,8286.600000,2764.962000,3526.868000,1994.770000
2008-05-01,8777.800000,3102.396000,3625.434000,2049.970000
2008-06-01,9209.800000,3699.403000,3582.687000,1927.710000
2008-07-01,9127.100000,3626.348000,3476.582000,2024.170000
2008-08-01,9025.300000,3438.115000,3488.405000,2098.780000
2008-09-01,8587.600000,3061.343000,3375.917000,2150.340000
2008-10-01,8477.200000,2898.784000,3417.156000,2161.260000
2008-11-01,8914.900000,3159.108000,3681.432000,2074.360000
2008-12-01,9053.400000,3471.033000,3691.127000,1891.240000
2009-01-01,9086.100000,3533.299000,3658.961000,1893.840000
2009-02-01,8241.600000,3105.440000,3404.180000,1731.980000
2009-03-01,8955.600000,3336.438000,3769.532000,1849.630000
2009-04-01,8104.700000,2813.071000,3391.869000,1899.760000
2009-05-01,8435.300000,3047.803000,3510.857000,1876.640000
2009-06-01,9114.200000,3721.346000,3529.784000,1863.070000
2009-07-01,9508.000000,4052.004000,3612.156000,1843.840000
2009-08-01,8738.400000,3502.447000,3400.943000,1835.010000
2009-09-01,8350.200000,3023.058000,3474.772000,1852.370000
2009-10-01,8420.700000,3027.540000,3471.550000,1921.610000
2009-11-01,8644.000000,3065.794000,3643.166000,1935.040000
2009-12-01,9023.600000,3336.758000,3780.482000,1906.360000
2010-01-01,9740.000000,3931.898000,3934.752000,1873.350000
2010-02-01,8773.900000,3361.184000,3579.086000,1833.630000
2010-03-01,9518.900000,3540.492000,3911.778000,2066.630000
2010-04-01,8434.100000,2875.625000,3598.085000,1960.390000
2010-05-01,8866.400000,3296.137000,3631.273000,1938.990000
2010-06-01,9367.000000,3825.755000,3646.075000,1895.170000
2010-07-01,10081.100000,4346.177000,3794.323000,1940.600000
2010-08-01,9733.100000,4043.618000,3702.052000,1987.430000
2010-09-01,8755.900000,3237.488000,3594.482000,1923.930000
2010-10-01,8567.700000,3018.133000,3608.487000,1941.080000
2010-11-01,8834.600000,3155.481000,3715.389000,1963.730000
2010-12-01,10125.700000,4020.361000,4161.809000,1943.530000
2011-01-01,10231.000000,4215.174000,4056.286000,1959.540000
2011-02-01,9129.000000,3363.751000,3678.869000,2086.380000
2011-03-01,9863.000000,3622.660000,3960.430000,2279.910000
2011-04-01,8917.800000,3051.537000,3751.863000,2114.400000
2011-05-01,9560.400000,3561.464000,3833.536000,2165.400000
2011-06-01,10135.800000,4211.284000,3837.306000,2087.210000
2011-07-01,10562.600000,4613.925000,3860.355000,2088.320000
2011-08-01,10311.900000,4289.444000,3880.286000,2142.170000
2011-09-01,9089.500000,3342.414000,3644.416000,2102.670000
2011-10-01,9062.400000,3138.281000,3781.749000,2142.370000
2011-11-01,9505.900000,3485.202000,3950.608000,2070.090000
2011-12-01,10118.600000,3969.237000,4178.333000,1971.030000
2012-01-01,10806.800000,4505.197835,4381.242165,1920.360000
2012-02-01,10089.200000,4043.826495,4020.409505,2024.964000
2012-03-01,10178.000000,3799.951418,4161.500582,2216.548000
2012-04-01,8970.000000,3123.399968,3781.600032,2065.000000
2012-05-01,9601.700000,3606.529430,3804.170570,2191.000000
2012-06-01,10297.000000,4287.290236,3856.709764,2153.000000
2012-07-01,11071.700000,4950.420934,3998.482066,2122.797000
2012-08-01,10408.300000,4352.486086,3859.701914,2196.112000
2012-09-01,9338.600000,3512.345190,3653.954810,2172.300000
2012-10-01,9608.000000,3532.067419,3792.432581,2283.500000
2012-11-01,10031.400000,3759.790749,3986.909251,2284.700000
2012-12-01,10824.300000,4285.470382,4311.929618,2226.900000
2013-01-01,11134.119345,4538.446146,4403.673199,2192.000000
2013-02-01,9834.160007,3961.686119,3923.973888,1948.500000
2013-03-01,9756.129308,3612.835111,3899.194197,2244.100000
2013-04-01,9307.334163,3239.380702,3852.153461,2215.800000
2013-05-01,10232.825394,3919.668996,4015.256398,2297.900000
2013-06-01,10360.537194,4409.513940,3836.723254,2114.300000
2013-07-01,11156.173393,5088.495112,3929.678281,2138.000000
2013-08-01,10904.479243,4782.603023,3915.176220,2206.700000
2013-09-01,10195.872995,4072.686172,3909.286823,2213.900000
2013-10-01,10045.715632,3744.478197,3967.437435,2333.800000
2013-11-01,10015.701652,3680.736448,4096.265204,2238.700000
2013-12-01,12291.286493,5338.633582,4775.052911,2177.600000
2014-01-01,12004.342368,5350.967240,4501.975128,2151.400000
2014-02-01,9823.968201,3883.775330,3875.392871,2064.800000
2014-03-01,9789.798789,3666.868681,3944.030108,2178.900000
2014-04-01,9595.374350,3542.163135,3869.911215,2183.300000
2014-05-01,10409.105006,4182.488527,4007.216479,2219.400000
2014-06-01,10901.714976,4790.674034,3995.140942,2115.900000
2014-07-01,11363.942102,5115.928828,4121.013274,2127.000000
2014-08-01,10490.682389,4454.936701,3946.345688,2089.400000
2014-09-01,9807.544191,3746.934696,3942.809495,2117.800000
2014-10-01,10706.493141,4186.567587,4233.925554,2286.000000
2014-11-01,10344.736672,3928.614071,4181.122601,2235.000000
2014-12-01,11229.377820,4594.222428,4422.155392,2213.000000
2015-01-01,11706.190093,5096.405805,4485.881622,2123.902666
2015-02-01,10665.086621,4438.153482,4195.116419,2031.816720
2015-03-01,11548.527072,4823.967700,4487.951318,2236.608054
2015-04-01,10026.434760,3756.852843,4112.087066,2157.494851
2015-05-01,10467.633693,4224.672651,4096.946370,2146.014672
2015-06-01,11254.419667,4941.275590,4222.780597,2090.363480
2015-07-01,11907.361919,5513.160882,4299.603255,2094.597782
2015-08-01,11130.262808,4797.705122,4221.518892,2111.038794
2015-09-01,10552.903241,4350.513945,4068.358096,2134.031200
2015-10-01,10722.174389,4362.416913,4083.188677,2276.568799
2015-11-01,10219.189482,3922.901043,4073.261068,2223.027371
2015-12-01,11909.435561,5196.471960,4559.777176,2153.186425
2016-01-01,12344.911762,5651.444906,4611.116668,2082.350188
2016-02-01,11731.845101,5012.872809,4674.575348,2044.396944
2016-03-01,10461.475920,4021.324887,4327.849414,2112.301619
2016-04-01,10292.000856,4104.173856,4148.353996,2039.473004
2016-05-01,11358.011628,4941.165168,4359.505856,2057.340604
2016-06-01,11812.947050,5634.190447,4282.498971,1896.257632
2016-07-01,11929.645375,5614.534651,4365.764848,1949.345876
2016-08-01,10855.441952,4663.796035,4249.089462,1942.556455
2016-09-01,10382.081134,4351.181774,4063.593245,1967.306115
2016-10-01,9956.038875,3953.447552,3985.437310,2017.154013
2016-11-01,10132.540584,3970.327674,4142.364061,2019.848849
2016-12-01,11853.854388,5148.817670,4687.283460,2017.753258
2017-01-01,12524.865646,5681.816626,4849.477855,1993.571165
2017-02-01,11074.906499,4618.226100,4551.831478,1904.848921
2017-03-01,11122.231555,4470.715122,4514.651091,2136.865342
2017-04-01,9793.758585,3754.330119,3986.450327,2052.978139
2017-05-01,10795.213415,4524.024791,4136.934659,2134.253965
2017-06-01,11359.330662,5180.585335,4150.183839,2028.561488
2017-07-01,11796.425757,5460.615925,4259.709195,2076.100637
2017-08-01,11107.250705,4767.354968,4209.854414,2130.041323
2017-09-01,10348.584548,4217.808567,4047.932339,2082.843642
2017-10-01,10227.329313,3979.729611,4116.218026,2131.381676
2017-11-01,10355.727486,4035.431940,4172.293125,2148.002421
2017-12-01,12024.595461,5216.357134,4700.319169,2107.919158
2018-01-01,12350.183342,5468.676184,4781.389061,2100.118097
2018-02-01,11404.202907,4963.984865,4409.163668,2031.054374
2018-03-01,11247.242147,4493.104135,4549.204478,2204.933534
2018-04-01,10493.314602,4084.283375,4264.484832,2144.546395
2018-05-01,10665.461535,4282.854741,4232.135998,2150.470796
2018-06-01,11925.912373,5589.928854,4314.391923,2021.591596
2018-07-01,12607.552746,6193.356918,4395.429390,2018.766438
2018-08-01,11721.305146,5381.905856,4291.441737,2047.957553
2018-09-01,9792.369117,3928.162283,3907.997234,1956.209600
2018-10-01,9904.218691,3944.594703,3978.890100,1980.733888
2018-11-01,10035.149399,4001.581048,4041.072386,1992.495965
2018-12-01,10863.012561,4687.899371,4305.440229,1869.672961
2019-01-01,11698.820402,5280.257409,4507.317265,1911.245728
2019-02-01,10706.955317,4640.570779,4236.763494,1829.621044
2019-03-01,10120.057936,3995.742961,4155.841684,1968.473291
2019-04-01,9572.130645,3647.812350,3971.245175,1953.073120
2019-05-01,10382.062156,4358.227351,4051.568954,1972.265851
2019-06-01,10649.854540,4815.895191,3985.740596,1848.218753
2019-07-01,12004.210187,5807.829900,4257.407791,1938.972496
2019-08-01,11465.483299,5201.899286,4206.692542,2056.891471
2019-09-01,10218.087823,4267.476337,3934.537950,2016.073536
2019-10-01,10380.686879,4222.295957,4012.432789,2145.958133
2019-11-01,10559.966155,4378.763830,4144.930896,2036.271429
2019-12-01,11187.742677,4911.899215,4406.841075,1869.002387
2020-01-01,11993.867057,5593.447400,4494.597629,1905.822028
2020-02-01,10843.474430,4751.384719,4218.645382,1873.444329
2020-03-01,11144.232192,5034.641888,4318.451977,1791.138327
2020-04-01,8537.200407,3863.630775,3269.808148,1403.761484
2020-05-01,9617.328172,4687.332380,3424.443830,1505.551962
2020-06-01,10781.714873,5591.261968,3635.874084,1554.578821
2020-07-01,12183.852641,6521.315560,4001.408076,1661.129005
2020-08-01,10728.379158,5267.341752,3741.760249,1719.277157
2020-09-01,10045.022850,4693.462034,3638.962980,1712.597836
2020-10-01,10013.844018,4428.481525,3758.740572,1826.621921
2020-11-01,10087.844439,4330.623877,3851.369101,1905.851461
2020-12-01,11330.177614,5258.408928,4193.858494,1877.910192
2021-01-01,11941.580986,5661.216932,4331.948859,1948.415195
2021-02-01,10090.389298,4363.836276,3880.340804,1846.212218
2021-03-01,11055.214503,4718.154621,4239.221819,2097.838063
2021-04-01,9817.737877,3891.458974,3909.054427,2017.224476
2021-05-01,10986.114068,5010.924044,3995.054976,1980.135048
2021-06-01,12053.804232,6070.270051,4011.805038,1971.729143
2021-07-01,12418.960365,6268.417449,4148.275478,2002.267438
2021-08-01,11660.287778,5534.851944,4087.353908,2038.081926
2021-09-01,10374.794060,4460.019197,3894.843471,2019.931392
2021-10-01,10451.324175,4481.150233,4023.809999,1946.363943
2021-11-01,10569.433719,4450.331245,4120.005402,1999.097072
2021-12-01,12457.845452,5875.231036,4637.279511,1945.334905
2022-01-01,13067.604932,6464.484064,4801.009871,1802.110997
2022-02-01,10567.756899,4612.567414,4185.905605,1769.283880
2022-03-01,10881.578983,4481.118657,4393.401085,2007.059241
2022-04-01,10147.364071,3999.097408,4100.350536,2047.916127
2022-05-01,11727.995001,5346.350927,4327.068463,2054.575611
2022-06-01,13074.470378,6686.629888,4432.274611,1955.565879
2022-07-01,12639.619366,6277.761203,4421.696106,1940.162057
2022-08-01,11782.419631,5480.926603,4344.918827,1956.574201
2022-09-01,10314.000247,4294.969294,4060.319054,1958.711899
2022-10-01,10221.298638,4191.800322,4056.286863,1973.211453
2022-11-01,11323.713162,4999.888377,4287.904184,2035.920601
2022-12-01,13027.412096,6321.388548,4713.010960,1993.012588
2023-01-01,13593.482594,6817.409084,4831.820802,1944.252708
2023-02-01,11906.275882,5684.562915,4409.545750,1812.167217
2023-03-01,13996.904605,6927.376352,5016.569766,2052.958487
2023-04-01,10046.212478,3985.954278,4131.210056,1929.048144
2023-05-01,10815.469724,4656.383154,4164.095397,1994.991173
2023-06-01,12071.781236,5835.774393,4197.267627,2038.739216
2023-07-01,12477.225903,6277.161519,4321.338783,1878.725601
2023-08-01,11756.000499,5501.921764,4286.131279,1967.947456
2023-09-01,10962.244457,4894.324626,4095.419129,1972.500702
2023-10-01,10454.125794,4396.246597,4095.463271,1962.415926
2023-11-01,11040.811143,4843.967604,4237.822727,1959.020812
2023-12-01,11763.004028,5475.149278,4416.089382,1871.765368
2024-01-01,13090.206981,6486.224939,4701.121721,1902.860321
2024-02-01,12851.124118,6343.135653,4619.141978,1888.846487
2024-03-01,11956.626841,5484.609658,4534.521938,1937.495245
2024-04-01,10004.921217,4253.020670,3934.545397,1817.355150
2024-05-01,12213.338451,6041.515054,4202.501044,1969.322353
2024-06-01,11226.223824,5345.517419,3986.352408,1894.353997
2024-07-01,13226.304292,6891.402589,4322.631488,2012.270215
2024-08-01,12171.606645,5900.983050,4241.513376,2029.110219
2024-09-01,10237.192793,4320.586552,3943.768050,1972.838191
2024-10-01,10678.921134,4548.718390,4151.263378,1978.939366
2024-11-01,11064.005964,4796.444767,4254.044165,2013.517032
