period,window,training_observations,intercept,trend_gwh_per_year,month_february,month_march,month_april,month_may,month_june,month_july,month_august,month_september,month_october,month_november,month_december,heating_gwh_per_degree,cooling_gwh_per_degree
2016-01-01,expanding,180,5840.453584,333.376978,-620.181478,324.155285,-287.002389,-78.796216,-92.288947,200.196792,1.936709,-444.062636,-62.556539,-55.418614,300.129386,113.993047,283.665364
2016-01-01,recent_60m,60,5962.497111,325.845761,-790.404238,194.623768,-590.719028,-254.623255,-187.890821,270.639614,-34.792987,-669.129049,-167.860436,-196.165527,153.641213,142.475904,376.83356
2016-02-01,expanding,181,5842.621382,334.052527,-636.871616,315.061703,-294.104248,-86.49272,-100.567654,191.716705,-6.294971,-451.977143,-70.029117,-63.950004,286.021708,114.192869,287.896108
2016-02-01,recent_60m,60,6172.991589,313.739974,-867.393054,129.729417,-652.917617,-301.719348,-214.982267,250.439563,-66.239597,-710.106466,-220.574627,-252.507369,84.330629,136.348216,382.85837
2016-03-01,expanding,182,5810.360141,334.53476,-609.874315,339.621719,-265.365125,-58.178077,-72.66861,219.471996,21.637643,-423.818119,-41.554627,-37.649182,301.039679,114.33551,296.512938
2016-03-01,recent_60m,60,6158.161399,312.859244,-813.974628,153.184724,-627.298487,-275.001469,-186.808995,279.114204,-38.383175,-682.943436,-194.265481,-227.867643,91.723052,135.90241,390.324187
2016-04-01,expanding,183,5795.610995,332.748724,-602.018413,316.510694,-237.571177,-28.81199,-41.763279,250.909742,52.418643,-393.87567,-12.780562,-11.054243,316.737066,113.807214,304.979333
2016-04-01,recent_60m,60,6221.998317,306.851673,-809.503462,13.586576,-617.542651,-257.750927,-159.631023,309.712073,-13.36648,-662.656463,-179.802954,-215.417705,95.273988,132.861507,394.375754
2016-05-01,expanding,184,5798.714908,331.834933,-600.915497,319.891546,-259.417934,-19.402054,-26.957773,267.258892,65.761945,-384.233764,-8.101929,-7.285872,319.10994,111.786055,306.107262
2016-05-01,recent_60m,60,6187.199374,309.701099,-810.365554,10.982797,-671.165829,-259.00018,-162.33787,306.389923,-16.138894,-664.989347,-181.554615,-217.058927,94.874052,133.255101,393.738366
2016-06-01,expanding,185,5799.544285,331.590765,-600.620793,320.794923,-257.874517,-18.580869,-13.620521,282.245287,77.347935,-376.820177,-6.261321,-6.278949,319.743981,109.542742,306.408649
2016-06-01,recent_60m,60,6194.427707,309.109225,-810.186483,11.523646,-670.125138,-258.796994,-145.759161,325.943811,-2.631215,-656.674503,-179.5298,-216.718018,94.957126,130.207336,393.870762
2016-07-01,expanding,186,5798.817068,331.804857,-600.879196,320.002822,-259.125601,-24.050138,-16.445696,272.079923,69.436397,-381.965218,-7.709765,-7.161842,319.18804,111.03249,306.144386
2016-07-01,recent_60m,60,6156.909497,312.181312,-811.115941,8.716401,-673.434118,-264.628306,-167.168619,319.51715,-7.570556,-660.37059,-181.668835,-218.487489,94.525938,131.078999,393.183568
