period,total_gwh,residential_gwh,residential_share_percent,residential_index_2015_100,residential_yoy_percent,commerce_industry_gwh,commerce_industry_share_percent,commerce_industry_index_2015_100,commerce_industry_yoy_percent,large_users_gwh,large_users_share_percent,large_users_index_2015_100,large_users_yoy_percent
2005-01-01,7983.28,2717.678,34.042,58.841,,3750.612,46.981,88.412,,1514.99,18.977,70.523,
2005-02-01,7248.88,2298.744,31.712,49.77,,3479.876,48.006,82.03,,1470.26,20.283,68.441,
2005-03-01,7689.91,2384.287,31.005,51.622,,3690.043,47.986,86.984,,1615.58,21.009,75.205,
2005-04-01,7213.14,2184.768,30.289,47.303,,3492.142,48.414,82.319,,1536.23,21.298,71.512,
2005-05-01,7668.55,2479.291,32.331,53.679,,3597.299,46.91,84.798,,1591.96,20.76,74.106,
2005-06-01,7719.71,2679.416,34.709,58.012,,3498.704,45.322,82.474,,1541.59,19.97,71.761,
2005-07-01,8061.62,2896.148,35.925,62.705,,3628.562,45.01,85.535,,1536.91,19.065,71.543,
2005-08-01,7953.5,2737.632,34.42,59.273,,3587.508,45.106,84.567,,1628.36,20.474,75.8,
2005-09-01,7508.4,2454.398,32.689,53.14,,3449.992,45.948,81.325,,1604.01,21.363,74.667,
2005-10-01,7403.31,2266.127,30.61,49.064,,3495.353,47.213,82.395,,1641.83,22.177,76.427,
2005-11-01,7784.34,2415.443,31.03,52.297,,3642.277,46.79,85.858,,1726.62,22.181,80.374,
2005-12-01,8098.31,2572.563,31.767,55.699,,3790.507,46.806,89.352,,1735.24,21.427,80.776,
2006-01-01,7957.9,2830.373,35.567,61.281,4.147,3428.727,43.086,80.824,-8.582,1698.8,21.347,79.079,12.133
2006-02-01,7395.7,2515.396,34.012,54.461,9.425,3261.454,44.099,76.881,-6.277,1618.85,21.889,75.358,10.106
2006-03-01,8037.6,2474.69,30.789,53.58,3.792,3540.41,44.048,83.457,-4.055,2022.5,25.163,94.148,25.187
2006-04-01,7555.6,2258.193,29.888,48.892,3.361,3318.147,43.916,78.217,-4.982,1979.26,26.196,92.135,28.839
2006-05-01,8116.1,2696.051,33.219,58.372,8.743,3416.579,42.096,80.538,-5.024,2003.47,24.685,93.262,25.849
2006-06-01,8248.9,2963.715,35.929,64.168,10.61,3374.495,40.908,79.546,-3.55,1910.69,23.163,88.943,23.943
