period,temperature_c,feature_state,actual_gwh,intercept_component_gwh,trend_component_gwh,month_component_gwh,heating_component_gwh,cooling_component_gwh,prediction_gwh,error_gwh
2016-03-01,21.2,dead_band,10461.476,5810.36,5073.777,339.622,0.0,0.0,11223.759,762.283
2016-04-01,17.3,active,10292.001,5795.611,5074.418,-237.571,79.665,0.0,10712.123,420.122
2016-05-01,12.6,active,11358.012,5798.715,5088.136,-19.402,603.645,0.0,11471.093,113.082
2016-09-01,14.3,active,10382.081,5803.653,5175.97,-382.112,418.933,0.0,11016.443,634.362
2016-10-01,17.8,active,9956.039,5807.849,5184.046,4.481,21.852,0.0,11018.228,1062.189
2016-11-01,21.1,dead_band,10132.541,5814.846,5178.861,12.298,0.0,0.0,11006.005,873.465
2017-03-01,22.4,active,11122.232,5895.217,5247.507,281.959,0.0,119.836,11544.519,422.287
2017-04-01,18.9,dead_band,9793.759,5896.274,5261.168,-294.233,0.0,0.0,10863.209,1069.45
2017-05-01,15.9,active,10795.213,5902.257,5254.928,-53.74,236.745,0.0,11340.19,544.977
2017-09-01,15.9,active,10348.585,5909.366,5321.901,-473.798,264.41,0.0,11021.879,673.294
2017-10-01,18.2,dead_band,10227.329,5912.749,5329.247,-82.961,0.0,0.0,11159.035,931.706
2017-11-01,20.6,dead_band,10355.727,5917.444,5328.898,-57.279,0.0,0.0,11189.063,833.335
2018-03-01,22.4,active,11247.242,5940.545,5388.142,295.303,0.0,123.327,11747.317,500.075
2018-04-01,22.1,active,10493.315,5941.276,5399.216,-317.113,0.0,31.029,11054.408,561.093
2018-05-01,16.6,active,10665.462,5946.482,5409.19,-101.336,182.188,0.0,11436.525,771.063
2018-09-01,17.5,active,9792.369,5951.369,5478.668,-499.886,67.208,0.0,10997.359,1204.99
2018-10-01,17.8,active,9904.219,5955.655,5473.967,-102.437,30.429,0.0,11357.614,1453.395
2018-11-01,21.4,dead_band,10035.149,5961.302,5459.404,-60.115,0.0,0.0,11360.592,1325.442
2019-03-01,21.2,dead_band,10120.058,5837.647,5446.518,467.11,0.0,0.0,11751.275,1631.217
2019-04-01,19.7,dead_band,9572.131,5812.83,5423.483,-85.456,0.0,0.0,11150.857,1578.726
2019-05-01,16.0,active,10382.062,5822.996,5405.281,74.125,300.0,0.0,11602.402,1220.34
2019-09-01,15.4,active,10218.088,5845.588,5410.261,-358.649,429.377,0.0,11326.578,1108.49
